Table A1;;;;;;;;;;;;
Growth-irradiance curve parameters and other information for all experiments used in the paper. The columns include: species (species name), mu_max (µmax, d-1), alpha (α, d-1 µmol photons-1 m2 s1), I_opt (Iopt, µmol photons m-2 s-1), I_max (the maximum irradiance used in the experiment, µmol photons m-2 s-1), culture temperature (°C), culture daylength (h), cell volume (µm3), taxon, environment (C = coastal, O = oceanic), Chl:C (mass ratio, measured under the lowest irradiance), and reference. In some cases the model-estimated Iopt can be very high, suggesting no evidence for photoinhibition in the experiment. We have included the maximum irradiance used in the experiment for comparison. ;;;;;;;;;;;;
;;;;;;;;;;;;
species;mu_max;alpha;I_opt;I_max;temperature;daylength;volume;taxon;environment;Chl:C;reference;
Isochrysis galbana;7.41E-01;2.51E-01;3.58E+03;1.69E+02;1.50E+01;1.20E+01;na;haptophyte;C;na;23;
Isochrysis galbana;1.36E+00;1.13E-01;7.58E+03;1.68E+02;2.00E+01;1.20E+01;na;haptophyte;C;na;23;
Isochrysis galbana;2.54E+00;5.11E-01;1.80E+04;1.67E+02;2.50E+01;1.20E+01;na;haptophyte;C;na;23;
Rhodomonas salina;7.07E-01;2.97E-01;9.29E+03;1.68E+02;1.00E+01;1.20E+01;na;cryptophyte;C;na;23;
Rhodomonas salina;8.33E-01;2.26E-01;8.59E+03;1.68E+02;1.50E+01;1.20E+01;na;cryptophyte;C;na;23;
Rhodomonas salina;1.08E+00;1.18E-01;6.05E+03;1.68E+02;2.00E+01;1.20E+01;na;cryptophyte;C;na;23;
Rhodomonas salina;1.61E+00;1.71E-01;7.56E+01;1.68E+02;2.50E+01;1.20E+01;na;cryptophyte;C;na;23;
Detonula confervacea;1.22E+00;2.51E-02;5.15E+01;2.63E+02;2.00E+00;2.40E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;6.61E-01;9.79E-02;3.28E+01;2.63E+02;2.00E+00;1.50E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;4.36E-01;1.38E-01;5.94E+01;2.63E+02;2.00E+00;1.20E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;8.69E-01;5.70E-02;7.96E+01;2.63E+02;7.00E+00;2.40E+01;1.61E+03;diatom;C;na;24;
Detonula confervacea;8.93E-01;1.19E-01;1.63E+11;2.63E+02;7.00E+00;1.50E+01;1.61E+03;diatom;C;na;24;
